DATA_ACC,ZTIME,GTYPE,TEMP,IN_BOXPLOT
184RS6,ZT12,ELF3-OX AT,12C,1.0
184RS8,ZT12,ELF3-OX BD,12C,1.0
184RS7,ZT12,ELF3-OX POTATO,12C,1.0
,,,,
177RS1,ZT12,ELF3-OX AT,22C,1.0
181RS15,ZT12,ELF3-OX AT,22C,1.0
181RS12,ZT12,ELF3-OX BD,22C,1.0
181RS11,ZT12,ELF3-OX POTATO,22C,1.0
,,,,
177RS7,ZT12,ELF3-OX AT,27C,1.0
181RS20,ZT12,ELF3-OX AT,27C,1.0
181RS25,ZT12,ELF3-OX AT,27C,1.0
184RS18,ZT12,ELF3-OX BD,27C,1.0
181RS17,ZT12,ELF3-OX BD,27C,1.0
181RS22,ZT12,ELF3-OX BD,27C,1.0
181RS16,ZT12,ELF3-OX POTATO,27C,1.0
