DataAcc	bamAcc	bamFinal	bname	fname	runID	sampleID	RPKMFile	hasRPKMFile	bamHeader	npkFile	alias	header	genome	RPKMFileSize	BamFileSize	blacklisted
100CS10	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1758_32_S10/REV_1758_mutant_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1758_32_S10/REV_1758_mutant_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	REV_1758_mutant_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1758_32_S10/REV_1758_mutant_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S10	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1758_32_S10/REV_1758_mutant_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		REV	100C_S10_REV	Ath-TAIR10	31592586	347875229	False
100CS17	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1759-22_S17/REV_1759_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1759-22_S17/REV_1759_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	REV_1759_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1759-22_S17/REV_1759_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S17	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/1759-22_S17/REV_1759_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		REV	100C_S17_REV	Ath-TAIR10	40174883	556481629	False
100CS22	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/35SFT_S22/35SFT_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/35SFT_S22/35SFT_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	35SFT_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/35SFT_S22/35SFT_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S22	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/35SFT_S22/35SFT_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		35SFT	100C_S22_35SFT	Ath-TAIR10	47384273	803716045	False
100CS7	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-27_S7/gELF3-FLAG-elf3-1-27_S7_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-27_S7/gELF3-FLAG-elf3-1-27_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	gELF3-FLAG-elf3-1-27_S7_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-27_S7/gELF3-FLAG-elf3-1-27_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S7	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-27_S7/gELF3-FLAG-elf3-1-27_S7_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		gELF3-FLAG-elf3-1-27	100C_S7_gELF3-FLAG-elf3-1-27	Ath-TAIR10	41836727	542689212	False
100CS8	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-32_S8/gELF3-FLAG-elf3-1-32_S8_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-32_S8/gELF3-FLAG-elf3-1-32_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	gELF3-FLAG-elf3-1-32_S8_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-32_S8/gELF3-FLAG-elf3-1-32_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S8	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/gELF3-FLAG-elf3-1-32_S8/gELF3-FLAG-elf3-1-32_S8_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		gELF3-FLAG-elf3-1-32	100C_S8_gELF3-FLAG-elf3-1-32	Ath-TAIR10	43462849	641577787	False
100CS18	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-ChIP_S18/LUX22-ChIP_S18_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-ChIP_S18/LUX22-ChIP_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	LUX22-ChIP_S18_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-ChIP_S18/LUX22-ChIP_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S18	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-ChIP_S18/LUX22-ChIP_S18_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		LUX22-ChIP	100C_S18_LUX22-ChIP	Ath-TAIR10	37224731	449794638	False
100CS23	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-Input_S23/LUX22-Input_S23_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-Input_S23/LUX22-Input_S23_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	LUX22-Input_S23_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-Input_S23/LUX22-Input_S23_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S23	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX22-Input_S23/LUX22-Input_S23_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		LUX22-Input	100C_S23_LUX22-Input	Ath-TAIR10	39310986	485215246	False
100CS19	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-IChIP_S19/LUX27-IChIP_S19_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-IChIP_S19/LUX27-IChIP_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	LUX27-IChIP_S19_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-IChIP_S19/LUX27-IChIP_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S19	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-IChIP_S19/LUX27-IChIP_S19_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		LUX27-IChIP	100C_S19_LUX27-IChIP	Ath-TAIR10	39363308	480927676	False
100CS2	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-Input_S2/LUX27-Input_S2_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-Input_S2/LUX27-Input_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	LUX27-Input_S2_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-Input_S2/LUX27-Input_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S2	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/LUX27-Input_S2/LUX27-Input_S2_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		LUX27-Input	100C_S2_LUX27-Input	Ath-TAIR10	23474469	219852845	False
100CS24	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/TP2-27-PIF4PIF4-FLAG_S24/WTTP2-27-PIF4PIF4-FLAG_S24_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/TP2-27-PIF4PIF4-FLAG_S24/WTTP2-27-PIF4PIF4-FLAG_S24_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard.bam	WTTP2-27-PIF4PIF4-FLAG_S24_raw_bowtie2_TAIR10_ensembl_nomixed	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/TP2-27-PIF4PIF4-FLAG_S24/WTTP2-27-PIF4PIF4-FLAG_S24_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	100C	S24	/home/feng/writable/teamkj/__backup/mapped-data/ChIP-seq/Mapped_data/100C_LIB_23062015/TP2-27-PIF4PIF4-FLAG_S24/WTTP2-27-PIF4PIF4-FLAG_S24_raw_bowtie2_TAIR10_ensembl_nomixed_sorted_rmdup_picard_RPKM.bw	True	"@SQ	SN:1	LN:30427671
@SQ	SN:2	LN:19698289
@SQ	SN:3	LN:23459830
@SQ	SN:4	LN:18585056
@SQ	SN:5	LN:26975502
@SQ	SN:Mt	LN:366924
@SQ	SN:Pt	LN:154478
"		WTTP2-27-PIF4PIF4-FLAG	100C_S24_WTTP2-27-PIF4PIF4-FLAG	Ath-TAIR10	36451063	405130774	False
