signature_targets,chipseq_targets_genes
AT1G02340,AT1G03130
AT1G03106,AT1G04530
AT1G03120,AT1G06040
AT1G03130,AT1G06680
AT1G04180,AT1G08380
AT1G04560,AT1G08390
AT1G04660,AT1G09350
AT1G05835,AT1G15820
AT1G06040,AT1G16300
AT1G06080,AT1G19050
AT1G06537,AT1G21500
AT1G07985,AT1G22767
AT1G09570,AT1G23070
AT1G12064,AT1G26665
AT1G12080,AT1G26790
AT1G13430,AT1G29390
AT1G14700,AT1G29910
AT1G15010,AT1G29930
AT1G15040,AT1G30380
AT1G15790,AT1G31330
AT1G15820,AT1G35780
AT1G15830,AT1G43670
AT1G16635,AT1G44446
AT1G16850,AT1G44575
AT1G17810,AT1G52220
AT1G18330,AT1G52230
AT1G18400,AT1G55670
AT1G18710,AT1G55960
AT1G21050,AT1G60950
AT1G21360,AT1G61520
AT1G22600,AT1G61970
AT1G22640,AT1G69570
AT1G22770,AT1G69830
AT1G23052,AT1G72500
AT1G24580,AT1G75440
AT1G26945,AT1G80130
AT1G27030,AT1G80950
AT1G27461,AT2G02230
AT1G27670,AT2G05070
AT1G29500,AT2G05100
AT1G32170,AT2G20250
AT1G32560,AT2G20260
AT1G35140,AT2G20670
AT1G35260,AT2G21320
AT1G43800,AT2G22980
AT1G44446,AT2G29650
AT1G52342,AT2G30032
AT1G52690,AT2G30570
AT1G54860,AT2G31380
AT1G54870,AT2G34420
AT1G64110,AT2G35260
AT1G64380,AT2G36540
AT1G64500,AT2G37720
AT1G64640,AT2G38610
AT1G64660,AT2G40340
AT1G65090,AT2G46787
AT1G67265,AT2G46790
AT1G67810,AT3G02380
AT1G68360,AT3G02390
AT1G69490,AT3G08940
AT1G69530,AT3G11670
AT1G69570,AT3G12290
AT1G69572,AT3G12320
AT1G70210,AT3G16350
AT1G70830,AT3G17040
AT1G70940,AT3G18980
AT1G72030,AT3G27690
AT1G72100,AT3G46630
AT1G72500,AT3G46780
AT1G73120,AT3G47470
AT1G73480,AT3G48100
AT1G74670,AT3G49070
AT1G75100,AT3G53830
AT1G75450,AT3G54500
AT1G75830,AT3G54890
AT1G78970,AT3G55240
AT1G79360,AT3G55573
AT1G80090,AT3G56940
AT1G80160,AT3G57060
AT2G01422,AT3G57062
AT2G05070,AT3G61470
AT2G05100,AT4G00490
AT2G14247,AT4G02770
AT2G15010,AT4G05180
AT2G18010,AT4G09750
AT2G18150,AT4G10340
AT2G18540,AT4G12800
AT2G18700,AT4G18220
AT2G18790,AT4G20830
AT2G19660,AT4G28750
AT2G20835,AT4G32340
AT2G21490,AT4G34150
AT2G21820,AT4G35850
AT2G23110,AT4G38840
AT2G23170,AT4G38850
AT2G23240,AT5G01530
AT2G24980,AT5G01990
AT2G26690,AT5G02811
AT2G26695,AT5G02820
AT2G27370,AT5G06980
AT2G28670,AT5G09410
AT2G30210,AT5G11110
AT2G31980,AT5G13630
AT2G32150,AT5G15190
AT2G32300,AT5G19930
AT2G33790,AT5G19940
