DataAcc	runID	sampleID	figS4E_j	figS4E_o	figS4E_0905		bname
189CS11	189C	S11	31	31	21		gELF3myc-27C_S11_RPKM.bw
189CS10	189C	S10	30	30	20		gELF3myc-17C_S10_RPKM.bw
176CS22	176C	S22	29	29	23		INPUT-380_S22_Ath-TAIR10_RPKM.bw
176CS21	176C	S21	28	28	22		INPUT-379_S21_Ath-TAIR10_RPKM.bw
192CS18	192C	S18		27	4		ELF3myc-27C-ZT10_S18_Ath-TAIR10_RPKM.bw
192CS17	192C	S17		26	3		ELF3myc-17C-ZT10_S17_Ath-TAIR10_RPKM.bw
176CS8	176C	S8	25	25	19		4196-27C-ZT10_S8_Ath-TAIR10_RPKM.bw
176CS7	176C	S7	24	24	18		4196-22C-ZT10_S7_Ath-TAIR10_RPKM.bw
176CS6	176C	S6	23	23	17		4195-27C-Zt10_S6_Ath-TAIR10_RPKM.bw
176CS5	176C	S5	22	22	16		4195-22C-ZT10_S5_Ath-TAIR10_RPKM.bw
182CS24	182C	S24	21	21	15		35SELF3-27C-HA_S24_RPKM.bw
176CS20	176C	S20	20	20	14		35ELF3-HA-27C-ZT10_S20_Ath-TAIR10_RPKM.bw
176CS19	176C	S19	19	19	13		35ELF3-HA-22C-ZT10_S19_Ath-TAIR10_RPKM.bw
186CS15	186C	S15		18			31-27C-ZT10_S15_RPKM.bw
186CS14	186C	S14		17			31-17C-ZT10_S14_RPKM.bw
176CS14	176C	S14		16			1493-27C-ZT10_S14_Ath-TAIR10_RPKM.bw
176CS13	176C	S13		15			1493-22C-ZT10_S13_Ath-TAIR10_RPKM.bw
176CS10	176C	S10		14			1492-27C-ZT10_S10_Ath-TAIR10_RPKM.bw
176CS9	176C	S9		13			1492-22C-ZT10_S9_Ath-TAIR10_RPKM.bw
176CS12	176C	S12	12	12	12		1491-27C-ZT10_S12_Ath-TAIR10_RPKM.bw
176CS11	176C	S11	11	11	11		1491-22C-ZT10_S11_Ath-TAIR10_RPKM.bw
176CS18	176C	S18	10	10	10		1490-27C-ZT10_S18_Ath-TAIR10_RPKM.bw
176CS17	176C	S17	9	9	9		1490-22C-ZT10_S17_Ath-TAIR10_RPKM.bw
176CS16	176C	S16		8			1489-27C-ZT10_S16_Ath-TAIR10_RPKM.bw
