DataAcc,SpecAcc,Age,RunID,ZTime,gtype,light,temp,sampleID,header_,ZTime_int,fname_,date,genome,tophatOpt,trimmoOpt,type,bname,sampleCode,mapped_reads,total_reads,runID
177RS1,Ath,unknown,177R,ZT12,ELF3-OX AT,,22C,S1,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-737-ELF3-ox-1480-ZT12-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1a26aa47-30a4-4dff-a004-3c63db4f1221_output-folder/star_out/177R-737-ELF3-ox-1480-ZT12-22C_S1.fastq.gz/read_counts.tsv,,,,,,177R-737-ELF3-ox-1480-ZT12-22C_S1,737,20035179.0,22361487.0,177R
177RS2,Ath,unknown,177R,ZT12,ELF4 X ELF3-OX,,22C,S2,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-738-elf4-2-x-ELF3-ox-1481-ZT12-22C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-99051bd6-c69e-4887-922d-680060027349_output-folder/star_out/177R-738-elf4-2-x-ELF3-ox-1481-ZT12-22C_S2.fastq.gz/read_counts.tsv,,,,,,177R-738-elf4-2-x-ELF3-ox-1481-ZT12-22C_S2,738,10592876.0,12857801.0,177R
177RS3,Ath,unknown,177R,ZT12,ELF3,,27C,S3,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-739-elf3-1-ZT12-27C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-099891b8-bf7c-4d85-b4b7-838973029cb3_output-folder/star_out/177R-739-elf3-1-ZT12-27C_S3.fastq.gz/read_counts.tsv,,,,,,177R-739-elf3-1-ZT12-27C_S3,739,10640719.0,13315520.0,177R
177RS4,Ath,unknown,177R,ZT12,ELF4,,27C,S4,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-740-elf4-2-ZT12-27C_S4_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1f87027e-bb74-4bc5-989c-e326dcf743a1_output-folder/star_out/177R-740-elf4-2-ZT12-27C_S4.fastq.gz/read_counts.tsv,,,,,,177R-740-elf4-2-ZT12-27C_S4,740,13050691.0,14361143.0,177R
177RS5,Ath,unknown,177R,ZT12,ELF4-OX,,27C,S5,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-741-ELF4-ox-1462-ZT12-27C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-23ed44bc-19f5-4b15-88cb-eac39a8d4338_output-folder/star_out/177R-741-ELF4-ox-1462-ZT12-27C_S5.fastq.gz/read_counts.tsv,,,,,,177R-741-ELF4-ox-1462-ZT12-27C_S5,741,13218392.0,14781332.0,177R
177RS6,Ath,unknown,177R,ZT12,ELF3 X ELF4-OX,,27C,S6,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-742-elf3-1-x-ELF4-ox-1463-ZT12-27C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-96cbf347-4eaf-402c-9e37-00c41186f71e_output-folder/star_out/177R-742-elf3-1-x-ELF4-ox-1463-ZT12-27C_S6.fastq.gz/read_counts.tsv,,,,,,177R-742-elf3-1-x-ELF4-ox-1463-ZT12-27C_S6,742,15255659.0,17397603.0,177R
177RS7,Ath,unknown,177R,ZT12,ELF3-OX AT,,27C,S7,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-743-ELF3-ox-1480-ZT12-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e9fe4e79-0af3-4773-8f7e-cb0afb0a2bec_output-folder/star_out/177R-743-ELF3-ox-1480-ZT12-27C_S7.fastq.gz/read_counts.tsv,,,,,,177R-743-ELF3-ox-1480-ZT12-27C_S7,743,12088679.0,13361860.0,177R
177RS8,Ath,unknown,177R,ZT12,ELF4 X ELF3-OX,,27C,S8,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-744-elf4-2-x-ELF3-ox-1481-ZT12-27C_S8_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-d220b58f-618e-4eee-9a27-3d4c4dbb2982_output-folder/star_out/177R-744-elf4-2-x-ELF3-ox-1481-ZT12-27C_S8.fastq.gz/read_counts.tsv,,,,,,177R-744-elf4-2-x-ELF3-ox-1481-ZT12-27C_S8,744,15952118.0,17682840.0,177R
177RS9,Ath,unknown,177R,ZT8,Q0-2,,22C,S9,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-745-Q0-2-ZT8-22C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0a92caaa-cef6-4bbb-b448-1191966a47d9_output-folder/star_out/177R-745-Q0-2-ZT8-22C_S9.fastq.gz/read_counts.tsv,,,,,,177R-745-Q0-2-ZT8-22C_S9,745,16637923.0,23312752.0,177R
177RS10,Ath,unknown,177R,ZT12,Q0-15,,27C,S10,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-764-Q0-15-ZT12-27C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-af4a65e0-4325-477c-a0a1-150ed1095d11_output-folder/star_out/177R-764-Q0-15-ZT12-27C_S10.fastq.gz/read_counts.tsv,,,,,,177R-764-Q0-15-ZT12-27C_S10,764,20587751.0,27903383.0,177R
177RS12,Ath,unknown,177R,ZT8,Q7-17,,22C,S12,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-748-Q7-17-ZT8-22C_S12_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-f54fcecb-db9c-4ed9-9374-5c016bc93780_output-folder/star_out/177R-748-Q7-17-ZT8-22C_S12.fastq.gz/read_counts.tsv,,,,,,177R-748-Q7-17-ZT8-22C_S12,748,24764856.0,26530063.0,177R
177RS13,Ath,unknown,177R,ZT8,Q21-7,,22C,S13,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-749-Q21-7-ZT8-22C_S13_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-dedea8e0-dd9c-4941-a5c8-091180338b78_output-folder/star_out/177R-749-Q21-7-ZT8-22C_S13.fastq.gz/read_counts.tsv,,,,,,177R-749-Q21-7-ZT8-22C_S13,749,17922113.0,19822359.0,177R
177RS14,Ath,unknown,177R,ZT8,Q0-2,,27C,S14,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-751-Q0-2-ZT8-27C_S14_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0fd51be0-bdea-4d59-8f22-88b102d7f22f_output-folder/star_out/177R-751-Q0-2-ZT8-27C_S14.fastq.gz/read_counts.tsv,,,,,,177R-751-Q0-2-ZT8-27C_S14,751,14593635.0,19597211.0,177R
177RS15,Ath,unknown,177R,ZT8,Q0-15,,27C,S15,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-752-Q0-15-ZT8-27C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1de3a315-7121-44f2-a7ac-a66315d03242_output-folder/star_out/177R-752-Q0-15-ZT8-27C_S15.fastq.gz/read_counts.tsv,,,,,,177R-752-Q0-15-ZT8-27C_S15,752,18911238.0,20997864.0,177R
177RS16,Ath,unknown,177R,ZT8,Q7-6,,27C,S16,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-753-Q7-6-ZT8-27C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1c39ac7f-aa00-494b-8d85-97f8491b52f7_output-folder/star_out/177R-753-Q7-6-ZT8-27C_S16.fastq.gz/read_counts.tsv,,,,,,177R-753-Q7-6-ZT8-27C_S16,753,27579947.0,31622283.0,177R
177RS17,Ath,unknown,177R,ZT8,Q7-17,,27C,S17,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-754-Q7-17-ZT8-27C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b8f8c33e-c379-43ab-bd05-9f29205d5b16_output-folder/star_out/177R-754-Q7-17-ZT8-27C_S17.fastq.gz/read_counts.tsv,,,,,,177R-754-Q7-17-ZT8-27C_S17,754,12975884.0,20228769.0,177R
177RS18,Ath,unknown,177R,ZT8,Q21-7,,27C,S18,,8,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-755-Q21-7-ZT8-27C_S18_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9d7028b0-6984-4baf-a703-fc0c8e63af77_output-folder/star_out/177R-755-Q21-7-ZT8-27C_S18.fastq.gz/read_counts.tsv,,,,,,177R-755-Q21-7-ZT8-27C_S18,755,13418848.0,17132384.0,177R
177RS20,Ath,unknown,177R,ZT12,Q0-2,,22C,S20,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-757-Q0-2-ZT12-22C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-0c69bf48-eaf6-4960-8aa7-4c0fb8928ecc_output-folder/star_out/177R-757-Q0-2-ZT12-22C_S20.fastq.gz/read_counts.tsv,,,,,,177R-757-Q0-2-ZT12-22C_S20,757,7261617.0,11881902.0,177R
177RS21,Ath,unknown,177R,ZT12,Q0-15,,22C,S21,,12,/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-758-Q0-15-ZT12-22C_S21_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-6772c819-43c4-41cb-9cc4-6c95fa2b1a78_output-folder/star_out/177R-758-Q0-15-ZT12-22C_S21.fastq.gz/read_counts.tsv,,,,,,177R-758-Q0-15-ZT12-22C_S21,758,11712698.0,13566077.0,177R
